Nr obwodu,Kandydat,Liczba głosów
93,HINC Przemysław Jakub,34
93,JAŚKOWIAK Jacek,677
93,LEWANDOWSKI Tomasz Jacek,68
93,PUCEK Jarosław,102
93,ZYSK Tadeusz,303
94,BONK-HAMMERMEISTER Dorota Magdalena,60
94,BRATKOWSKI Wojciech,13
94,HINC Przemysław Jakub,34
94,JAŚKOWIAK Jacek,565
94,LEWANDOWSKI Tomasz Jacek,67
94,PUCEK Jarosław,131
94,ZYSK Tadeusz,212
95,BONK-HAMMERMEISTER Dorota Magdalena,21
95,BRATKOWSKI Wojciech,21
95,HINC Przemysław Jakub,23
95,JAŚKOWIAK Jacek,611
95,LEWANDOWSKI Tomasz Jacek,103
95,PUCEK Jarosław,66
95,ZYSK Tadeusz,233
96,BONK-HAMMERMEISTER Dorota Magdalena,30
96,BRATKOWSKI Wojciech,20
96,HINC Przemysław Jakub,29
96,JAŚKOWIAK Jacek,825
96,LEWANDOWSKI Tomasz Jacek,111
96,PUCEK Jarosław,94
96,ZYSK Tadeusz,270
97,BONK-HAMMERMEISTER Dorota Magdalena,35
97,BRATKOWSKI Wojciech,18
97,HINC Przemysław Jakub,25
97,JAŚKOWIAK Jacek,719
97,LEWANDOWSKI Tomasz Jacek,147
97,PUCEK Jarosław,75
97,ZYSK Tadeusz,279
98,BONK-HAMMERMEISTER Dorota Magdalena,30
98,BRATKOWSKI Wojciech,23
98,HINC Przemysław Jakub,28
98,JAŚKOWIAK Jacek,775
98,LEWANDOWSKI Tomasz Jacek,125
98,PUCEK Jarosław,111
98,ZYSK Tadeusz,285
99,BONK-HAMMERMEISTER Dorota Magdalena,27
99,BRATKOWSKI Wojciech,13
99,HINC Przemysław Jakub,26
99,JAŚKOWIAK Jacek,517
99,LEWANDOWSKI Tomasz Jacek,65
99,PUCEK Jarosław,47
99,ZYSK Tadeusz,255
100,BONK-HAMMERMEISTER Dorota Magdalena,31
100,BRATKOWSKI Wojciech,18
100,HINC Przemysław Jakub,25
100,JAŚKOWIAK Jacek,800
100,LEWANDOWSKI Tomasz Jacek,123
100,PUCEK Jarosław,96
100,ZYSK Tadeusz,285
101,BONK-HAMMERMEISTER Dorota Magdalena,26
