Nr okręgu,Nr obwodu,Kandydat,Liczba głosów
3,77,LEWANDOWSKI Tomasz Jacek,78
3,77,PUCEK Jarosław,65
3,77,ZYSK Tadeusz,161
3,78,BONK-HAMMERMEISTER Dorota Magdalena,30
3,78,BRATKOWSKI Wojciech,6
3,78,HINC Przemysław Jakub,29
3,78,JAŚKOWIAK Jacek,330
3,78,LEWANDOWSKI Tomasz Jacek,66
3,78,PUCEK Jarosław,61
3,78,ZYSK Tadeusz,181
3,79,BONK-HAMMERMEISTER Dorota Magdalena,22
3,79,BRATKOWSKI Wojciech,16
3,79,HINC Przemysław Jakub,23
3,79,JAŚKOWIAK Jacek,420
3,79,LEWANDOWSKI Tomasz Jacek,52
3,79,PUCEK Jarosław,58
3,79,ZYSK Tadeusz,118
3,80,BONK-HAMMERMEISTER Dorota Magdalena,18
3,80,BRATKOWSKI Wojciech,12
3,80,HINC Przemysław Jakub,21
3,80,JAŚKOWIAK Jacek,405
3,80,LEWANDOWSKI Tomasz Jacek,60
3,80,PUCEK Jarosław,64
3,80,ZYSK Tadeusz,145
3,81,BONK-HAMMERMEISTER Dorota Magdalena,30
3,81,BRATKOWSKI Wojciech,9
3,81,HINC Przemysław Jakub,17
3,81,JAŚKOWIAK Jacek,444
3,81,LEWANDOWSKI Tomasz Jacek,56
3,81,PUCEK Jarosław,58
3,81,ZYSK Tadeusz,147
3,82,BONK-HAMMERMEISTER Dorota Magdalena,32
3,82,BRATKOWSKI Wojciech,15
3,82,HINC Przemysław Jakub,24
3,82,JAŚKOWIAK Jacek,543
3,82,LEWANDOWSKI Tomasz Jacek,81
3,82,PUCEK Jarosław,40
3,82,ZYSK Tadeusz,149
3,83,BONK-HAMMERMEISTER Dorota Magdalena,16
3,83,BRATKOWSKI Wojciech,4
3,83,HINC Przemysław Jakub,3
3,83,JAŚKOWIAK Jacek,233
3,83,LEWANDOWSKI Tomasz Jacek,46
3,83,PUCEK Jarosław,48
3,83,ZYSK Tadeusz,125
3,84,BONK-HAMMERMEISTER Dorota Magdalena,41
3,84,BRATKOWSKI Wojciech,22
3,84,HINC Przemysław Jakub,31
3,84,JAŚKOWIAK Jacek,564
3,84,LEWANDOWSKI Tomasz Jacek,101
3,84,PUCEK Jarosław,82
3,84,ZYSK Tadeusz,197
3,85,BONK-HAMMERMEISTER Dorota Magdalena,20
3,85,BRATKOWSKI Wojciech,21
3,85,HINC Przemysław Jakub,21
3,85,JAŚKOWIAK Jacek,459
3,85,LEWANDOWSKI Tomasz Jacek,88
3,85,PUCEK Jarosław,70
3,85,ZYSK Tadeusz,118
3,86,BONK-HAMMERMEISTER Dorota Magdalena,39
3,86,BRATKOWSKI Wojciech,23
3,86,HINC Przemysław Jakub,31
3,86,JAŚKOWIAK Jacek,492
3,86,LEWANDOWSKI Tomasz Jacek,80
3,86,PUCEK Jarosław,87
3,86,ZYSK Tadeusz,178
3,87,BONK-HAMMERMEISTER Dorota Magdalena,10
3,87,BRATKOWSKI Wojciech,15
3,87,HINC Przemysław Jakub,16
3,87,JAŚKOWIAK Jacek,272
3,87,LEWANDOWSKI Tomasz Jacek,52
